timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,date,rsi,rolling_mean,rolling_std,zscore,return,log_return
2020-09-14,3.2002,4.91,3.2002,3.2661,4788171.0,2020-09-14 23:59:59.999,16036784.494,64892,2108916.0,7072177.633,0,2020-09-14,,,,,,
2020-09-15,3.2629,3.3258,2.9001,2.9332,4318305.0,2020-09-15 23:59:59.999,13621711.0385,52431,2045597.0,6469073.2204,0,2020-09-15,,,,,-0.10192584427910967,-0.10750263533559962
2020-09-16,2.9299,2.9299,2.4316,2.5395,5698128.0,2020-09-16 23:59:59.999,14856831.7914,74645,2567811.0,6695436.1084,0,2020-09-16,,,,,-0.1342220100913678,-0.14412676597834476
2020-09-17,2.54,2.936,2.3569,2.8855,6499338.0,2020-09-17 23:59:59.999,17030558.1609,85456,3110240.0,8169723.7962,0,2020-09-17,,,,,0.13624729277416825,0.1277309839097215
2020-09-18,2.8821,3.15,2.724,3.108,6310796.0,2020-09-18 23:59:59.999,18691804.3569,84568,3177110.0,9425291.614,0,2020-09-18,,,,,0.07710968636284887,0.07428123733651708
2020-09-19,3.108,3.2509,2.955,3.0193,5004414.0,2020-09-19 23:59:59.999,15371321.4183,65646,2384521.0,7330934.2824,0,2020-09-19,,,,,-0.028539253539253573,-0.028954416065101577
2020-09-20,3.0159,3.0173,2.6876,2.8635,4430783.0,2020-09-20 23:59:59.999,12699290.7506,53547,2201022.0,6323828.8086,0,2020-09-20,,,,,-0.05160136455469799,-0.0529803635885244
2020-09-21,2.8567,3.03,2.4576,2.7539,6299704.0,2020-09-21 23:59:59.999,17301567.0659,81971,3074652.0,8451469.8851,0,2020-09-21,,,,,-0.03827483848437241,-0.039026564025190336
2020-09-22,2.7544,3.01,2.6094,2.9183,8942906.0,2020-09-22 23:59:59.999,25701864.7265,111300,4358753.0,12534587.7355,0,2020-09-22,,,,,0.05969715675950482,0.05798316613334282
2020-09-23,2.9196,3.0935,2.6863,2.8313,7291781.0,2020-09-23 23:59:59.999,21084871.2389,84584,3715507.0,10749658.6707,0,2020-09-23,,,,,-0.029811876777575907,-0.030265284822506913
2020-09-24,2.835,3.2538,2.7607,3.1392,6564611.0,2020-09-24 23:59:59.999,19866295.772,81955,3086730.0,9367412.8476,0,2020-09-24,,,,,0.10874863137074842,0.10323202025148642
