timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,date,rsi,rolling_mean,rolling_std,zscore,return,log_return
2020-09-18,4.9638,8.764,4.66,6.8914,135791137,2020-09-18 23:59:59.999,864645134.3571,1423925,69106458,440361177.3085,0,2020-09-18,,,,,,
2020-09-19,6.8918,7.5227,5.2368,5.7311,106389752,2020-09-19 23:59:59.999,687012171.0178,1428119,52108812,337411444.7611,0,2020-09-19,,,,,-0.1683692718460691,-0.1843667730388848
2020-09-20,5.7321,6.09,4.6272,5.2313,90765939,2020-09-20 23:59:59.999,477245747.8036,1133875,43572447,229366653.6786,0,2020-09-20,,,,,-0.08720838931444219,-0.0912476712241424
2020-09-21,5.231,5.6758,4.07,4.2532,110039120,2020-09-21 23:59:59.999,513374468.525,1002796,53324549,248856174.1679,0,2020-09-21,,,,,-0.18697073385200624,-0.20698817236021935
2020-09-22,4.2637,4.56,3.7029,3.9101,98557117,2020-09-22 23:59:59.999,400575226.3121,937128,48454392,197001291.831,0,2020-09-22,,,,,-0.08066867299915348,-0.08410869167699539
2020-09-23,3.912,5.3343,3.901,4.3829,141742645,2020-09-23 23:59:59.999,642861065.0727,1275960,72811246,330508395.2771,0,2020-09-23,,,,,0.12091762359018965,0.11414765663537187
2020-09-24,4.383,5.3,4.2517,5.1553,95798055,2020-09-24 23:59:59.999,467962170.601,934663,48806382,238667917.4472,0,2020-09-24,,,,,0.17623034976841812,0.16231470594872086
2020-09-25,5.1503,5.5608,4.73,4.9089,64952833,2020-09-25 23:59:59.999,332296224.1373,757063,32060512,164205784.2655,0,2020-09-25,,,,,-0.04779547262041017,-0.04897542758106879
2020-09-26,4.909,4.999,4.6806,4.873,38207202,2020-09-26 23:59:59.999,185311161.2231,533667,18628813,90433774.1722,0,2020-09-26,,,,,-0.007313247367027209,-0.007340120259453349
2020-09-27,4.8701,5.2183,4.6807,4.8502,31796723,2020-09-27 23:59:59.999,156065941.5811,425814,15127874,74311845.2576,0,2020-09-27,,,,,-0.0046788426020931695,-0.004689822648801629
2020-09-28,4.852,4.96,4.1758,4.256,32567949,2020-09-28 23:59:59.999,148349930.0076,454861,14691003,66953574.7729,0,2020-09-28,,,,,-0.12251041194177559,-0.13069018917322422
2020-09-29,4.2544,4.4189,4.1229,4.3884,26454732,2020-09-29 23:59:59.999,112683808.5644,266688,12909754,55038196.8322,0,2020-09-29,,,,,0.03110902255639081,0.030634943921855368
2020-09-30,4.3883,4.3885,3.9511,4.1604,23432442,2020-09-30 23:59:59.999,96596004.8809,236569,10941805,45099002.563,0,2020-09-30,,,,,-0.05195515449822252,-0.05335347246435772
2020-10-01,4.1628,4.5185,3.9225,4.2392,39670118,2020-10-01 23:59:59.999,167446646.1709,402629,19217814,81203992.5661,0,2020-10-01,26.170709793351307,,,,0.01894048649168356,0.018763348699574335
2020-10-02,4.2429,4.2429,3.5602,3.894,33521844,2020-10-02 23:59:59.999,130428108.9849,323700,15905441,61861857.9253,0,2020-10-02,24.642144089878528,,,,-0.08143045857709008,-0.0849376652464074
2020-10-03,3.8922,4.1217,3.831,3.9012,18960474,2020-10-03 23:59:59.999,74582687.2676,192287,9106496,35846777.1198,0,2020-10-03,30.76664354333522,,,,0.001848998459167861,0.0018472911657148822
2020-10-04,3.9035,3.948,3.6054,3.7255,23181609,2020-10-04 23:59:59.999,87164793.6883,259560,11062453,41623877.2812,0,2020-10-04,33.01601624182268,,,,-0.04503742438224134,-0.046083127104077755
2020-10-05,3.7225,3.7958,3.18,3.3233,35146506,2020-10-05 23:59:59.999,121282606.5746,316964,16826038,58061261.3528,0,2020-10-05,37.94560680303856,,,,-0.10795866326667558,-0.11424280584658034
2020-10-06,3.3234,3.3424,2.6211,2.7109,63109461,2020-10-06 23:59:59.999,189162386.0582,488153,30359893,91048047.94,0,2020-10-06,35.469174098487784,,,,-0.18427466674690818,-0.20367758208652345
2020-10-07,2.7093,2.995,2.456,2.9558,74719910,2020-10-07 23:59:59.999,202625859.702,605413,37915764,103083181.4183,0,2020-10-07,31.69680646402462,4.387105,0.9554917342312337,-1.4979773751277865,0.09033900180751786,0.08648865871979398
2020-10-08,2.958,3.4623,2.6352,3.3501,76651161,2020-10-08 23:59:59.999,234795402.3467,720775,39860184,122333279.9542,0,2020-10-08,24.36086808317235,4.21004,0.7787699568449022,-1.1042285240226128,0.13339874145747332,0.12522085433938374
2020-10-09,3.3495,3.6013,3.175,3.3806,46834530,2020-10-09 23:59:59.999,158124503.1264,497757,23417418,79127305.3615,0,2020-10-09,26.875472840066564,4.092515000000001,0.7116058542960575,-1.0004344338963442,0.009104205844601587,0.009063012396221181
2020-10-10,3.3819,3.6607,3.2643,3.2959,33319109,2020-10-10 23:59:59.999,113971676.2849,353665,16409689,56207071.2985,0,2020-10-10,26.484358691438274,3.9957449999999994,0.6794638160653635,-1.0299959813204758,-0.025054724013488627,-0.0253739367528014
2020-10-11,3.2956,3.4521,3.1813,3.3624,26061619,2020-10-11 23:59:59.999,86592896.1653,262820,13077137,43482251.2585,0,2020-10-11,28.101265822784796,3.9512050000000003,0.690801100534735,-0.8523509872005391,0.020176583027397665,0.019975732927631072
2020-10-12,3.3612,3.6016,3.281,3.4572,28191393,2020-10-12 23:59:59.999,96727041.7862,270481,14083603,48351353.2439,0,2020-10-12,36.216178906681385,3.92856,0.6995868121895057,-0.6737691331327114,0.028194147037829964,0.02780400818757602
